County,Candidate,Election Day Votes,Absentee by Mail Votes,Advanced Voting Votes,Provisional Votes,Total Votes
Appling,Donald J. Trump,1753,890,3874,9,6526
Appling,Jo Jorgensen,5,5,26,0,36
Appling,Joseph R. Biden,334,587,855,3,1779
Atkinson,Donald J. Trump,716,164,1419,1,2300
Atkinson,Jo Jorgensen,14,3,13,0,30
Atkinson,Joseph R. Biden,250,130,445,0,825
Bacon,Donald J. Trump,431,487,3099,1,4018
Bacon,Jo Jorgensen,8,4,13,0,25
Bacon,Joseph R. Biden,140,196,288,1,625
Baker,Donald J. Trump,291,138,466,2,897
Baker,Jo Jorgensen,2,2,2,0,6
Baker,Joseph R. Biden,149,234,269,0,652
Baldwin,Donald J. Trump,1873,1290,5736,4,8903
Baldwin,Jo Jorgensen,63,38,107,0,208
Baldwin,Joseph R. Biden,1527,3000,4612,1,9140
Banks,Donald J. Trump,1644,1025,5116,10,7795
Banks,Jo Jorgensen,20,9,45,0,74
Banks,Joseph R. Biden,150,344,435,3,932
Barrow,Donald J. Trump,5885,4134,16782,3,26804
Barrow,Jo Jorgensen,226,131,307,0,664
Barrow,Joseph R. Biden,1717,3583,5150,3,10453
Bartow,Donald J. Trump,10179,5976,21499,20,37674
Bartow,Jo Jorgensen,276,148,275,2,701
Bartow,Joseph R. Biden,2175,4486,5423,8,12092
Ben Hill,Donald J. Trump,441,528,3140,1,4110
Ben Hill,Jo Jorgensen,18,8,32,0,58
Ben Hill,Joseph R. Biden,336,714,1342,0,2392
Berrien,Donald J. Trump,1835,749,3825,10,6419
Berrien,Jo Jorgensen,21,9,25,0,55
Berrien,Joseph R. Biden,333,367,568,1,1269
Bibb,Donald J. Trump,7922,5375,13234,54,26585
Bibb,Jo Jorgensen,299,174,273,3,749
Bibb,Joseph R. Biden,8704,14264,20384,116,43468
Bleckley,Donald J. Trump,942,614,2770,2,4328
Bleckley,Jo Jorgensen,20,10,37,0,67
Bleckley,Joseph R. Biden,295,428,588,0,1311
Brantley,Donald J. Trump,1992,685,4307,7,6991
Brantley,Jo Jorgensen,24,11,21,0,56
Brantley,Joseph R. Biden,145,204,349,1,699
Brooks,Donald J. Trump,1423,519,2312,6,4260
Brooks,Jo Jorgensen,16,9,25,0,50
Brooks,Joseph R. Biden,522,1115,1149,4,2790
Bryan,Donald J. Trump,2579,1588,10072,5,14244
Bryan,Jo Jorgensen,108,72,177,0,357
Bryan,Joseph R. Biden,838,2105,3794,2,6739
Bulloch,Donald J. Trump,6653,2800,8910,23,18386
Bulloch,Jo Jorgensen,192,87,175,1,455
Bulloch,Joseph R. Biden,2415,3530,5263,35,11243
Burke,Donald J. Trump,1949,649,2802,0,5400
Burke,Jo Jorgensen,25,14,36,0,75
Burke,Joseph R. Biden,1490,1867,1852,0,5209
Butts,Donald J. Trump,824,1137,6443,2,8406
Butts,Jo Jorgensen,22,20,49,0,91
Butts,Joseph R. Biden,376,973,1924,1,3274
Calhoun,Donald J. Trump,279,150,494,0,923
Calhoun,Jo Jorgensen,6,3,2,0,11
Calhoun,Joseph R. Biden,361,436,463,0,1260
Camden,Donald J. Trump,3621,2161,9465,4,15251
Camden,Jo Jorgensen,170,95,205,0,470
Camden,Joseph R. Biden,1166,2777,4021,3,7967
Candler,Donald J. Trump,431,375,2327,0,3133
Candler,Jo Jorgensen,14,4,11,0,29
Candler,Joseph R. Biden,193,376,699,1,1269
Carroll,Donald J. Trump,11071,4699,21676,30,37476
Carroll,Jo Jorgensen,278,125,357,0,760
Carroll,Joseph R. Biden,3007,4634,8582,15,16238
Catoosa,Donald J. Trump,5170,2952,17025,20,25167
Catoosa,Jo Jorgensen,178,78,236,2,494
Catoosa,Joseph R. Biden,976,2130,3823,3,6932
Charlton,Donald J. Trump,1124,397,1896,2,3419
Charlton,Jo Jorgensen,17,7,20,0,44
Charlton,Joseph R. Biden,233,294,576,0,1103
Chatham,Donald J. Trump,18346,11781,23014,96,53237
Chatham,Jo Jorgensen,889,506,519,15,1929
Chatham,Joseph R. Biden,17952,29037,31085,180,78254
Chattahoochee,Donald J. Trump,291,132,455,2,880
Chattahoochee,Jo Jorgensen,17,9,8,1,35
Chattahoochee,Joseph R. Biden,150,166,350,1,667
Chattooga,Donald J. Trump,2464,1102,4492,6,8064
Chattooga,Jo Jorgensen,50,25,57,0,132
Chattooga,Joseph R. Biden,366,649,837,2,1854
Cherokee,Donald J. Trump,23758,19639,56171,19,99587
Cherokee,Jo Jorgensen,921,628,899,1,2449
Cherokee,Joseph R. Biden,6598,17261,18929,6,42794
Clarke,Donald J. Trump,3409,4048,6974,15,14446
Clarke,Jo Jorgensen,268,243,325,3,839
Clarke,Joseph R. Biden,5323,14329,16357,39,36048
Clay,Donald J. Trump,131,105,401,0,637
Clay,Jo Jorgensen,5,2,0,0,7
Clay,Joseph R. Biden,165,296,329,0,790
Clayton,Donald J. Trump,3403,4366,7988,56,15813
Clayton,Jo Jorgensen,343,312,397,3,1055
Clayton,Joseph R. Biden,16580,27109,51347,440,95476
Clinch,Donald J. Trump,618,209,1277,1,2105
Clinch,Jo Jorgensen,2,2,8,0,12
Clinch,Joseph R. Biden,235,156,356,0,747
Cobb,Donald J. Trump,37609,50764,76907,179,165459
Cobb,Jo Jorgensen,2157,2320,1952,12,6441
Cobb,Joseph R. Biden,30599,95513,95387,347,221846
Coffee,Donald J. Trump,2587,917,7066,8,10578
Coffee,Jo Jorgensen,41,17,67,0,125
Coffee,Joseph R. Biden,1100,995,2411,5,4511
Colquitt,Donald J. Trump,4270,1365,6132,10,11777
Colquitt,Jo Jorgensen,50,20,49,0,119
Colquitt,Joseph R. Biden,1108,1199,1877,3,4187
Columbia,Donald J. Trump,13300,7023,29643,47,50013
Columbia,Jo Jorgensen,514,241,575,0,1330
Columbia,Joseph R. Biden,5009,9546,14648,33,29236
Cook,Donald J. Trump,1113,486,3301,0,4900
Cook,Jo Jorgensen,26,14,36,0,76
Cook,Joseph R. Biden,538,512,1008,1,2059
Coweta,Donald J. Trump,18273,9400,23824,4,51501
Coweta,Jo Jorgensen,498,304,283,3,1088
Coweta,Joseph R. Biden,5330,9288,9578,14,24210
Crawford,Donald J. Trump,1152,562,2713,1,4428
Crawford,Jo Jorgensen,21,10,28,0,59
Crawford,Joseph R. Biden,263,524,827,1,1615
Crisp,Donald J. Trump,977,780,3227,3,4987
Crisp,Jo Jorgensen,23,10,33,0,66
Crisp,Joseph R. Biden,571,886,1527,2,2986
Dade,Donald J. Trump,2010,635,3414,7,6066
Dade,Jo Jorgensen,51,12,44,0,107
Dade,Joseph R. Biden,243,377,640,1,1261
Dawson,Donald J. Trump,2336,1964,9095,3,13398
Dawson,Jo Jorgensen,62,44,90,1,197
Dawson,Joseph R. Biden,254,1051,1181,0,2486
Decatur,Donald J. Trump,1469,832,4451,6,6758
Decatur,Jo Jorgensen,20,23,46,0,89
Decatur,Joseph R. Biden,788,1472,2512,8,4780
DeKalb,Donald J. Trump,12126,16078,29966,203,58373
DeKalb,Jo Jorgensen,1122,1356,1707,19,4204
DeKalb,Joseph R. Biden,33634,110666,162718,1209,308227
Dodge,Donald J. Trump,2335,711,2793,4,5843
Dodge,Jo Jorgensen,34,10,11,1,56
Dodge,Joseph R. Biden,550,580,1040,1,2171
Dooly,Donald J. Trump,466,259,1431,3,2159
Dooly,Jo Jorgensen,10,7,18,0,35
Dooly,Joseph R. Biden,482,476,951,2,1911
Dougherty,Donald J. Trump,4259,2355,3818,22,10454
Dougherty,Jo Jorgensen,133,70,74,3,280
Dougherty,Joseph R. Biden,7317,8052,9124,84,24577
Douglas,Donald J. Trump,4863,5434,15139,15,25451
Douglas,Jo Jorgensen,259,227,349,2,837
Douglas,Joseph R. Biden,5963,13998,22804,44,42809
Early,Donald J. Trump,799,416,1504,3,2722
Early,Jo Jorgensen,7,6,15,0,28
Early,Joseph R. Biden,646,684,1107,0,2437
Echols,Donald J. Trump,226,121,909,0,1256
Echols,Jo Jorgensen,4,3,11,0,18
Echols,Joseph R. Biden,33,32,102,0,167
Effingham,Donald J. Trump,7350,2520,13471,17,23358
Effingham,Jo Jorgensen,233,92,167,0,492
Effingham,Joseph R. Biden,1752,2333,3623,12,7720
Elbert,Donald J. Trump,1837,981,3408,0,6226
Elbert,Jo Jorgensen,30,13,23,0,66
Elbert,Joseph R. Biden,529,1082,1268,0,2879
Emanuel,Donald J. Trump,2528,896,3126,1,6551
Emanuel,Jo Jorgensen,36,7,22,1,66
Emanuel,Joseph R. Biden,842,808,1234,0,2884
Evans,Donald J. Trump,471,491,1926,0,2888
Evans,Jo Jorgensen,12,12,11,0,35
Evans,Joseph R. Biden,236,347,741,0,1324
Fannin,Donald J. Trump,4163,2253,5730,23,12169
Fannin,Jo Jorgensen,43,32,35,0,110
Fannin,Joseph R. Biden,384,1159,1028,0,2571
Fayette,Donald J. Trump,6352,7382,24162,56,37952
Fayette,Jo Jorgensen,279,232,463,2,976
Fayette,Joseph R. Biden,3400,11152,18443,70,33065
Floyd,Donald J. Trump,7897,4436,16678,112,29123
