"Player"|"Pos"|"Age"|"Tm"|"G"|"MP"|"PER"|"TS_perc"|"X3PAr"|"FTr"|"ORB_perc"|"DRB_perc"|"TRB_perc"|"AST_perc"|"STL_perc"|"BLK_perc"|"TOV_perc"|"USG_perc"|"OWS"|"DWS"|"WS"|"WS_48"|"OBPM"|"DBPM"|"BPM"|"VORP"
"Arron Afflalo"|"SG"|29|"TOT"|78|2502|10.7|0.533|0.377|0.224|1.1|9.7|5.3|8.2|0.8|0.2|10.7|19|1.6|1|2.6|0.05|-0.5|-1.3|-1.8|0.1
"Lou Amundson"|"PF"|32|"TOT"|53|937|11.8|0.442|0.004|0.341|11.3|22|16.5|12.2|1.2|4.6|17.5|17.4|-0.6|0.9|0.3|0.017|-4|2|-2|0
"D.J. Augustin"|"PG"|27|"TOT"|82|1964|13.9|0.527|0.38|0.317|1.1|7.9|4.4|28.2|1.3|0.1|16.4|19.8|2.5|0.9|3.4|0.083|0.2|-2.7|-2.5|-0.3
"Will Barton"|"SG"|24|"TOT"|58|983|13.6|0.503|0.241|0.266|2.8|15.3|8.9|13|2.5|1.5|13.4|20.2|0.2|1.1|1.3|0.063|-1.7|1.1|-0.6|0.3
"Tarik Black"|"C"|23|"TOT"|63|1196|14.7|0.583|0.004|0.432|12.8|21.4|17|5.6|0.8|1.6|12.9|13.8|2.2|0.9|3.1|0.124|-1|-0.6|-1.6|0.1
"Corey Brewer"|"SF"|28|"TOT"|80|2087|13.9|0.507|0.292|0.281|4.2|11.7|7.9|13.8|2.7|0.7|12.7|21.6|1|2.1|3.1|0.071|-0.8|-0.3|-1.1|0.5
"Reggie Bullock"|"SF"|23|"TOT"|36|338|6.2|0.466|0.657|0.129|0.3|16|8.3|3.2|1.5|0.9|9.8|10.9|-0.2|0.3|0.1|0.019|-3.6|-0.4|-4|-0.2
"Isaiah Canaan"|"PG"|23|"TOT"|47|938|12.4|0.534|0.651|0.159|2.1|8.3|5.1|18.7|1.5|0.3|13.3|21.6|0.8|0.7|1.4|0.072|0.7|-2.9|-2.2|-0.1
"Michael Carter-Williams"|"PG"|23|"TOT"|66|2149|14.1|0.461|0.166|0.317|3.2|15.3|9|37.3|2.6|1.1|19.5|26.7|-2.1|2.9|0.8|0.017|-1.6|0.9|-0.7|0.7
"Ian Clark"|"SG"|23|"TOT"|30|192|8.8|0.483|0.545|0.164|2.4|7.1|4.8|9.7|2.4|1.2|13.2|16|0|0.2|0.2|0.05|-2|-0.8|-2.8|0
